duration,src_bytes,dst_bytes,protocol,service,state,src_port,dst_port,attack_type
112740690,6448,1152,unknown,unknown,unknown,0,3268,BENIGN
112740560,6448,5056,unknown,unknown,unknown,0,389,BENIGN
113757377,0,0,unknown,unknown,unknown,0,0,BENIGN
100126,616,0,unknown,unknown,unknown,0,5355,BENIGN
54760,0,0,unknown,unknown,unknown,0,0,BENIGN
617,484,414,unknown,unknown,unknown,0,88,BENIGN
8,6,6,unknown,unknown,unknown,0,1031,BENIGN
881,656,3064,unknown,unknown,unknown,0,88,BENIGN
1056,3134,3048,unknown,unknown,unknown,0,88,BENIGN
515,2812,2820,unknown,unknown,unknown,0,88,BENIGN
18,6,6,unknown,unknown,unknown,0,1034,BENIGN
867,3160,3060,unknown,unknown,unknown,0,88,BENIGN
4315,4160,5724,unknown,unknown,unknown,0,389,BENIGN
26393515,686,752,unknown,unknown,unknown,0,135,BENIGN
26391938,3720,2672,unknown,unknown,unknown,0,49671,BENIGN
93069427,1180,1180,unknown,unknown,unknown,0,137,BENIGN
245,162,262,unknown,unknown,unknown,0,53,BENIGN
184,64,96,unknown,unknown,unknown,0,53,BENIGN
225,162,262,unknown,unknown,unknown,0,53,BENIGN
198,142,242,unknown,unknown,unknown,0,53,BENIGN
10882111,7506,2420,unknown,unknown,unknown,0,445,BENIGN
152,328,326,unknown,unknown,unknown,0,389,BENIGN
173,414,326,unknown,unknown,unknown,0,389,BENIGN
40,6,24,unknown,unknown,unknown,0,88,BENIGN
80,6,24,unknown,unknown,unknown,0,88,BENIGN
2,18,0,unknown,unknown,unknown,0,1031,BENIGN
2,18,0,unknown,unknown,unknown,0,1034,BENIGN
38,6,24,unknown,unknown,unknown,0,88,BENIGN
145,64,96,unknown,unknown,unknown,0,53,BENIGN
121,328,326,unknown,unknown,unknown,0,389,BENIGN
102133850,10368,0,unknown,unknown,unknown,0,138,BENIGN
23719992,10373,0,unknown,unknown,unknown,0,138,BENIGN
34758082,31280,0,unknown,unknown,unknown,0,137,BENIGN
30392250,2040,1860,unknown,unknown,unknown,0,137,BENIGN
250,64,96,unknown,unknown,unknown,0,53,BENIGN
215,80,180,unknown,unknown,unknown,0,53,BENIGN
233,58,90,unknown,unknown,unknown,0,53,BENIGN
4155641,0,0,unknown,unknown,unknown,0,0,BENIGN
91997219,37151,0,unknown,unknown,unknown,0,5353,BENIGN
66966070,288,288,unknown,unknown,unknown,0,123,BENIGN
119520,43,156,unknown,unknown,unknown,0,53,BENIGN
23527,53,106,unknown,unknown,unknown,0,53,BENIGN
186,88,150,unknown,unknown,unknown,0,53,BENIGN
183,86,240,unknown,unknown,unknown,0,53,BENIGN
196,80,212,unknown,unknown,unknown,0,53,BENIGN
