duration,src_bytes,dst_bytes,protocol,service,state,src_port,dst_port,attack_type
119973135,0,0,unknown,unknown,unknown,0,0,Infiltration
20,0,0,unknown,unknown,unknown,0,0,Bot
101086101,0,0,unknown,unknown,unknown,0,0,Infiltration
65543,0,0,unknown,unknown,unknown,0,0,BENIGN
79492070,0,0,unknown,unknown,unknown,0,0,Infiltration
101039258,0,0,unknown,unknown,unknown,0,0,Infiltration
30602,0,0,unknown,unknown,unknown,0,0,BENIGN
67917167,0,0,unknown,unknown,unknown,0,0,Infiltration
1024441,0,0,unknown,unknown,unknown,0,0,Bot
100460141,0,0,unknown,unknown,unknown,0,0,Infiltration
1001004,0,0,unknown,unknown,unknown,0,0,Bot
3,0,0,unknown,unknown,unknown,0,0,Bot
23182,0,0,unknown,unknown,unknown,0,0,BENIGN
88111235,0,0,unknown,unknown,unknown,0,0,BENIGN
119993844,0,0,unknown,unknown,unknown,0,0,Infiltration
50223,0,0,unknown,unknown,unknown,0,0,BENIGN
997152,0,0,unknown,unknown,unknown,0,0,Bot
3,0,0,unknown,unknown,unknown,0,0,Bot
34,0,0,unknown,unknown,unknown,0,0,Bot
78233714,0,0,unknown,unknown,unknown,0,0,Infiltration
997175,0,0,unknown,unknown,unknown,0,0,Bot
115660151,0,0,unknown,unknown,unknown,0,0,BENIGN
69714525,0,0,unknown,unknown,unknown,0,0,Infiltration
119992821,0,0,unknown,unknown,unknown,0,0,Infiltration
1,0,0,unknown,unknown,unknown,0,0,BENIGN
69483113,0,0,unknown,unknown,unknown,0,0,Infiltration
101086101,0,0,unknown,unknown,unknown,0,0,Infiltration
83,0,0,unknown,unknown,unknown,0,0,Bot
54,0,0,unknown,unknown,unknown,0,0,Bot
116393329,0,0,unknown,unknown,unknown,0,0,Infiltration
4042518,0,0,unknown,unknown,unknown,0,0,Infiltration
119974830,0,0,unknown,unknown,unknown,0,0,Infiltration
100460141,0,0,unknown,unknown,unknown,0,0,Infiltration
117923038,0,0,unknown,unknown,unknown,0,0,Infiltration
111942,0,0,unknown,unknown,unknown,0,0,Bot
33394,0,0,unknown,unknown,unknown,0,0,BENIGN
119973135,0,0,unknown,unknown,unknown,0,0,Infiltration
1860,0,0,unknown,unknown,unknown,0,0,BENIGN
68067287,0,0,unknown,unknown,unknown,0,0,BENIGN
2740112,0,0,unknown,unknown,unknown,0,0,BENIGN
1007907,0,0,unknown,unknown,unknown,0,0,Bot
23307,0,0,unknown,unknown,unknown,0,0,BENIGN
5721971,0,0,unknown,unknown,unknown,0,0,BENIGN
154503,0,0,unknown,unknown,unknown,0,0,BENIGN
69028668,0,0,unknown,unknown,unknown,0,0,BENIGN
24006815,0,0,unknown,unknown,unknown,0,0,Infiltration
74,0,0,unknown,unknown,unknown,0,0,Bot
79492070,0,0,unknown,unknown,unknown,0,0,Infiltration
99,0,0,unknown,unknown,unknown,0,0,Bot
90207713,0,0,unknown,unknown,unknown,0,0,BENIGN
237652,0,0,unknown,unknown,unknown,0,0,BENIGN
115532488,0,0,unknown,unknown,unknown,0,0,BENIGN
340186,0,0,unknown,unknown,unknown,0,0,Bot
1029595,0,0,unknown,unknown,unknown,0,0,Bot
101039258,0,0,unknown,unknown,unknown,0,0,Infiltration
1025506,0,0,unknown,unknown,unknown,0,0,Bot
56538478,0,0,unknown,unknown,unknown,0,0,Infiltration
119992821,0,0,unknown,unknown,unknown,0,0,Infiltration
86726608,0,0,unknown,unknown,unknown,0,0,Infiltration
66695827,0,0,unknown,unknown,unknown,0,0,Infiltration
18897509,0,0,unknown,unknown,unknown,0,0,Infiltration
116393329,0,0,unknown,unknown,unknown,0,0,Infiltration
24006815,0,0,unknown,unknown,unknown,0,0,Infiltration
119382036,0,0,unknown,unknown,unknown,0,0,Infiltration
76220,0,0,unknown,unknown,unknown,0,0,Bot
81611,0,0,unknown,unknown,unknown,0,0,Bot
3707943,0,0,unknown,unknown,unknown,0,0,BENIGN
849,0,0,unknown,unknown,unknown,0,0,BENIGN
79492070,0,0,unknown,unknown,unknown,0,0,Infiltration
59248,0,0,unknown,unknown,unknown,0,0,Bot
93269,0,0,unknown,unknown,unknown,0,0,Bot
119382036,0,0,unknown,unknown,unknown,0,0,Infiltration
67386,0,0,unknown,unknown,unknown,0,0,Bot
86726608,0,0,unknown,unknown,unknown,0,0,Infiltration
104790355,0,0,unknown,unknown,unknown,0,0,Infiltration
119991834,0,0,unknown,unknown,unknown,0,0,Infiltration
31,0,0,unknown,unknown,unknown,0,0,Bot
31417,0,0,unknown,unknown,unknown,0,0,BENIGN
47274,0,0,unknown,unknown,unknown,0,0,BENIGN
69714525,0,0,unknown,unknown,unknown,0,0,Infiltration
69365637,0,0,unknown,unknown,unknown,0,0,Infiltration
25850982,0,0,unknown,unknown,unknown,0,0,BENIGN
997390,0,0,unknown,unknown,unknown,0,0,Bot
68044326,0,0,unknown,unknown,unknown,0,0,BENIGN
25,0,0,unknown,unknown,unknown,0,0,Bot
99912925,0,0,unknown,unknown,unknown,0,0,Infiltration
1029653,0,0,unknown,unknown,unknown,0,0,Bot
119993844,0,0,unknown,unknown,unknown,0,0,Infiltration
1025108,0,0,unknown,unknown,unknown,0,0,Bot
117923038,0,0,unknown,unknown,unknown,0,0,Infiltration
69365637,0,0,unknown,unknown,unknown,0,0,Infiltration
207432,0,0,unknown,unknown,unknown,0,0,Bot
43,0,0,unknown,unknown,unknown,0,0,Bot
3,0,0,unknown,unknown,unknown,0,0,BENIGN
5597453,0,0,unknown,unknown,unknown,0,0,BENIGN
25009948,0,0,unknown,unknown,unknown,0,0,Infiltration
31994,0,0,unknown,unknown,unknown,0,0,BENIGN
100460141,0,0,unknown,unknown,unknown,0,0,Infiltration
1012720,0,0,unknown,unknown,unknown,0,0,Bot
119192597,0,0,unknown,unknown,unknown,0,0,BENIGN
116590541,0,0,unknown,unknown,unknown,0,0,BENIGN
67917167,0,0,unknown,unknown,unknown,0,0,Infiltration
29,0,0,unknown,unknown,unknown,0,0,Bot
18845261,0,0,unknown,unknown,unknown,0,0,BENIGN
104790355,0,0,unknown,unknown,unknown,0,0,Infiltration
5165693,0,0,unknown,unknown,unknown,0,0,BENIGN
38,0,0,unknown,unknown,unknown,0,0,BENIGN
1024737,0,0,unknown,unknown,unknown,0,0,Bot
30734,0,0,unknown,unknown,unknown,0,0,BENIGN
20,0,0,unknown,unknown,unknown,0,0,Infiltration
101086101,0,0,unknown,unknown,unknown,0,0,Infiltration
99515231,0,0,unknown,unknown,unknown,0,0,BENIGN
