duration,src_bytes,dst_bytes,protocol,service,state,src_port,dst_port,attack_type
0.6195,1870,1939,tcp,ssh,REQ,29580,519,Normal
1.2542,4728,1724,tcp,dns,RST,51892,750,Normal
1.3057,4801,3613,icmp,-,FIN,27240,450,Normal
5.6087,1259,2332,icmp,irc,CON,28975,961,Normal
0.2468,2758,2513,tcp,-,RST,62673,103,Normal
2.134,1523,3989,icmp,smtp,REQ,24584,879,Normal
3.9098,244,4036,icmp,dns,INT,34812,140,Normal
4.3348,1404,409,tcp,http,RST,54355,729,Normal
0.0595,3793,3361,icmp,http,FIN,35221,689,Normal
0.86,1953,2621,icmp,dns,INT,26261,350,Normal
1.6759,2655,579,tcp,ssh,REQ,26392,426,Normal
0.414,2536,3405,icmp,irc,REQ,59339,34,Normal
0.4931,2368,3260,udp,dns,RST,47128,406,Normal
0.8192,169,2082,icmp,ftp,CON,64485,1020,Normal
1.1141,1749,1986,icmp,ftp-data,FIN,60662,462,Normal
0.6482,3988,3623,udp,dns,FIN,12420,805,Normal
0.4543,4090,3592,udp,ssh,FIN,51656,25,Normal
1.1695,1844,3757,tcp,ssh,REQ,32446,46,Normal
0.8811,2050,2336,icmp,irc,FIN,58299,657,Normal
1.0139,743,1307,udp,irc,RST,48216,994,Normal
0.2285,3598,607,tcp,smtp,INT,6218,77,Normal
1.3259,3651,4261,tcp,dns,FIN,51917,271,Normal
0.0724,4966,1387,udp,http,INT,8383,833,Normal
1.2418,4734,4004,icmp,ftp-data,RST,37389,712,Normal
0.2515,4657,1523,udp,ftp-data,CON,40208,800,Normal
0.0811,3754,3036,tcp,-,INT,60595,412,Normal
0.1134,1081,1466,udp,-,CON,55649,25,Normal
0.2379,3912,2714,icmp,ftp-data,CON,27673,262,Normal
0.8575,949,672,tcp,irc,REQ,32875,618,Normal
0.1365,1214,2389,tcp,-,REQ,60439,147,Normal
0.6824,2204,4057,udp,ftp,RST,3861,24,Normal
0.1293,3825,2551,udp,ssh,REQ,33907,366,Normal
0.4594,4638,1656,icmp,irc,REQ,24033,393,Normal
1.3536,3283,1329,udp,ftp-data,REQ,7866,684,Normal
2.0522,1327,4064,tcp,http,RST,13085,804,Normal
0.4705,2474,1358,icmp,smtp,CON,37223,529,Normal
0.5292,4318,678,icmp,ssh,INT,47070,388,Normal
1.1067,3346,607,icmp,ftp-data,INT,35602,526,Normal
0.7501,4292,368,icmp,smtp,RST,40557,610,Normal
1.1365,4117,3199,udp,irc,REQ,48851,44,Normal
0.2604,961,3654,icmp,ftp-data,REQ,40780,62,Normal
1.0007,712,4003,udp,ssh,RST,60045,40,Normal
0.4855,84,3621,udp,ftp-data,FIN,39277,968,Normal
